id,authentic_path,manipulated_path,manipulation_type,suspicious_region,name,surname,given_names,dob,issue,expiry,doc_no,nationality,sex,split
SD_00020,authentic/SD_00020_authentic.jpg,manipulated/SD_00020_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Rohan Bose,Bose,Rohan,19910726,2022-11-28,2027-05-06,Z1607337,GBR,F,train
SD_00021,authentic/SD_00021_authentic.jpg,manipulated/SD_00021_clone.jpg,clone,"[430, 270, 580, 305]",Neel Mehta,Mehta,Neel,19710413,2020-06-09,2025-05-12,U8685014,USA,F,validation
SD_00022,authentic/SD_00022_authentic.jpg,manipulated/SD_00022_compression.jpg,compression,"[0, 0, 700, 455]",Vivaan Patel,Patel,Vivaan,19971226,2020-06-14,2025-07-19,G4060883,GBR,F,train
SD_00023,authentic/SD_00023_authentic.jpg,manipulated/SD_00023_mixed.jpg,mixed,"[45, 100, 650, 250]",Aditya Kulkarni,Kulkarni,Aditya,19910622,2019-02-24,2029-09-10,V6564823,CAN,F,train
SD_00024,authentic/SD_00024_authentic.jpg,manipulated/SD_00024_text_change.jpg,text_change,"[205, 150, 650, 173]",Rohan Desai,Desai,Rohan,19890927,2016-01-10,2026-04-14,Z9957773,AUS,F,train
SD_00025,authentic/SD_00025_authentic.jpg,manipulated/SD_00025_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Rohan Kulkarni,Kulkarni,Rohan,19750922,2014-11-20,2024-02-27,Y3433200,USA,F,test
SD_00026,authentic/SD_00026_authentic.jpg,manipulated/SD_00026_number_change.jpg,number_change,"[205, 188, 650, 211]",Aditya Kapoor,Kapoor,Aditya,19961007,2024-12-23,2034-08-13,H2016328,CAN,M,train
SD_00027,authentic/SD_00027_authentic.jpg,manipulated/SD_00027_date_change.jpg,date_change,"[205, 264, 650, 287]",Neel Malhotra,Malhotra,Neel,19770326,2017-08-22,2027-08-20,X8687277,GBR,M,test
SD_00028,authentic/SD_00028_authentic.jpg,manipulated/SD_00028_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Tara Kulkarni,Kulkarni,Tara,19850803,2014-12-10,2019-05-11,K8122362,SGP,M,train
SD_00029,authentic/SD_00029_authentic.jpg,manipulated/SD_00029_clone.jpg,clone,"[430, 270, 580, 305]",Aditya Joshi,Joshi,Aditya,19960915,2019-07-02,2024-07-13,Y9096705,GBR,F,train
SD_00030,authentic/SD_00030_authentic.jpg,manipulated/SD_00030_compression.jpg,compression,"[0, 0, 700, 455]",Kiara Iyer,Iyer,Kiara,20040416,2024-04-09,2034-08-01,M5627298,IND,F,test
SD_00031,authentic/SD_00031_authentic.jpg,manipulated/SD_00031_mixed.jpg,mixed,"[45, 100, 650, 250]",Aarav Patel,Patel,Aarav,19970806,2017-01-09,2027-06-07,O5564641,CAN,M,train
SD_00032,authentic/SD_00032_authentic.jpg,manipulated/SD_00032_text_change.jpg,text_change,"[205, 150, 650, 173]",Vivaan Nair,Nair,Vivaan,19840225,2020-11-02,2025-04-07,A9232719,USA,F,test
SD_00033,authentic/SD_00033_authentic.jpg,manipulated/SD_00033_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Anaya Singh,Singh,Anaya,19931020,2013-12-23,2018-03-10,D9049663,IND,M,train
SD_00034,authentic/SD_00034_authentic.jpg,manipulated/SD_00034_number_change.jpg,number_change,"[205, 188, 650, 211]",Arjun Bose,Bose,Arjun,19891120,2023-02-26,2028-06-18,N5185067,IND,F,train
SD_00035,authentic/SD_00035_authentic.jpg,manipulated/SD_00035_date_change.jpg,date_change,"[205, 264, 650, 287]",Ira Kulkarni,Kulkarni,Ira,19990706,2019-12-17,2029-10-26,R7769453,IND,F,train
SD_00036,authentic/SD_00036_authentic.jpg,manipulated/SD_00036_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Sara Desai,Desai,Sara,19940116,2017-06-06,2027-04-12,Z4549480,AUS,M,train
SD_00037,authentic/SD_00037_authentic.jpg,manipulated/SD_00037_clone.jpg,clone,"[430, 270, 580, 305]",Aditya Mehta,Mehta,Aditya,19960925,2021-04-23,2031-11-23,P7014363,GBR,F,train
SD_00038,authentic/SD_00038_authentic.jpg,manipulated/SD_00038_compression.jpg,compression,"[0, 0, 700, 455]",Tara Iyer,Iyer,Tara,20030724,2023-09-11,2033-12-15,I4431351,SGP,M,train
SD_00039,authentic/SD_00039_authentic.jpg,manipulated/SD_00039_mixed.jpg,mixed,"[45, 100, 650, 250]",Ishaan Mehta,Mehta,Ishaan,20001219,2020-09-20,2030-02-27,G4352408,USA,F,train
SD_00040,authentic/SD_00040_authentic.jpg,manipulated/SD_00040_text_change.jpg,text_change,"[205, 150, 650, 173]",Vivaan Sharma,Sharma,Vivaan,19880321,2021-08-04,2026-10-10,P7752047,IND,M,train
SD_00041,authentic/SD_00041_authentic.jpg,manipulated/SD_00041_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Meera Kapoor,Kapoor,Meera,19741122,2019-01-05,2024-10-10,C3186999,USA,F,train
SD_00042,authentic/SD_00042_authentic.jpg,manipulated/SD_00042_number_change.jpg,number_change,"[205, 188, 650, 211]",Sara Kapoor,Kapoor,Sara,19891014,2023-05-19,2028-10-24,D3341232,AUS,M,train
SD_00043,authentic/SD_00043_authentic.jpg,manipulated/SD_00043_date_change.jpg,date_change,"[205, 264, 650, 287]",Rohan Sharma,Sharma,Rohan,19961220,2021-08-10,2026-04-10,W4713493,CAN,M,train
SD_00044,authentic/SD_00044_authentic.jpg,manipulated/SD_00044_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Kabir Rao,Rao,Kabir,19790106,2011-05-20,2021-08-04,O4648877,IND,M,test
SD_00045,authentic/SD_00045_authentic.jpg,manipulated/SD_00045_clone.jpg,clone,"[430, 270, 580, 305]",Kiara Bose,Bose,Kiara,19900501,2019-02-08,2024-11-27,I9027874,USA,F,train
SD_00046,authentic/SD_00046_authentic.jpg,manipulated/SD_00046_compression.jpg,compression,"[0, 0, 700, 455]",Tara Patel,Patel,Tara,20000711,2020-06-22,2025-03-11,N7468071,GBR,F,test
SD_00047,authentic/SD_00047_authentic.jpg,manipulated/SD_00047_mixed.jpg,mixed,"[45, 100, 650, 250]",Diya Patel,Patel,Diya,19950122,2021-09-15,2031-01-07,Q5977034,AUS,M,train
SD_00048,authentic/SD_00048_authentic.jpg,manipulated/SD_00048_text_change.jpg,text_change,"[205, 150, 650, 173]",Aadhya Kapoor,Kapoor,Aadhya,20010121,2019-10-26,2024-12-06,J8086131,CAN,M,validation
SD_00049,authentic/SD_00049_authentic.jpg,manipulated/SD_00049_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Kabir Kapoor,Kapoor,Kabir,19881209,2018-07-27,2028-08-08,O8263982,IND,F,train
SD_00050,authentic/SD_00050_authentic.jpg,manipulated/SD_00050_number_change.jpg,number_change,"[205, 188, 650, 211]",Kiara Nair,Nair,Kiara,20020110,2022-12-10,2032-03-15,R7558867,GBR,M,train
SD_00051,authentic/SD_00051_authentic.jpg,manipulated/SD_00051_date_change.jpg,date_change,"[205, 264, 650, 287]",Neel Desai,Desai,Neel,19940702,2015-06-24,2025-12-26,M6270289,GBR,M,train
SD_00052,authentic/SD_00052_authentic.jpg,manipulated/SD_00052_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Sara Sharma,Sharma,Sara,19791105,2016-02-16,2026-06-20,W6158657,AUS,M,train
SD_00053,authentic/SD_00053_authentic.jpg,manipulated/SD_00053_clone.jpg,clone,"[430, 270, 580, 305]",Aditya Mehta,Mehta,Aditya,19881203,2013-07-04,2018-08-06,W4005045,GBR,F,train
SD_00054,authentic/SD_00054_authentic.jpg,manipulated/SD_00054_compression.jpg,compression,"[0, 0, 700, 455]",Kabir Mehta,Mehta,Kabir,20031022,2024-03-06,2029-02-20,M9379237,SGP,F,train
SD_00055,authentic/SD_00055_authentic.jpg,manipulated/SD_00055_mixed.jpg,mixed,"[45, 100, 650, 250]",Sara Rao,Rao,Sara,19700810,2024-11-18,2029-02-15,L9464743,CAN,F,train
SD_00056,authentic/SD_00056_authentic.jpg,manipulated/SD_00056_text_change.jpg,text_change,"[205, 150, 650, 173]",Arjun Mehta,Mehta,Arjun,19940619,2021-05-23,2031-01-27,V6409097,GBR,M,train
SD_00057,authentic/SD_00057_authentic.jpg,manipulated/SD_00057_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Ira Mehta,Mehta,Ira,19820522,2019-12-25,2024-11-04,U0470952,IND,F,test
SD_00058,authentic/SD_00058_authentic.jpg,manipulated/SD_00058_number_change.jpg,number_change,"[205, 188, 650, 211]",Diya Bose,Bose,Diya,19960405,2016-09-12,2026-03-09,P4517123,SGP,F,train
SD_00059,authentic/SD_00059_authentic.jpg,manipulated/SD_00059_date_change.jpg,date_change,"[205, 264, 650, 287]",Ira Patel,Patel,Ira,19950518,2013-02-15,2023-11-24,V4965137,IND,F,validation
SD_00060,authentic/SD_00060_authentic.jpg,manipulated/SD_00060_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Aditya Kulkarni,Kulkarni,Aditya,19991114,2021-02-05,2026-01-10,P1138267,GBR,F,validation
SD_00061,authentic/SD_00061_authentic.jpg,manipulated/SD_00061_clone.jpg,clone,"[430, 270, 580, 305]",Kabir Joshi,Joshi,Kabir,19760820,2023-07-09,2028-12-12,G7735158,SGP,F,train
SD_00062,authentic/SD_00062_authentic.jpg,manipulated/SD_00062_compression.jpg,compression,"[0, 0, 700, 455]",Vivaan Joshi,Joshi,Vivaan,19870228,2013-08-03,2018-11-21,T0053293,IND,M,train
SD_00063,authentic/SD_00063_authentic.jpg,manipulated/SD_00063_mixed.jpg,mixed,"[45, 100, 650, 250]",Ishaan Malhotra,Malhotra,Ishaan,19840326,2015-10-01,2025-03-05,R4210205,USA,F,train
SD_00064,authentic/SD_00064_authentic.jpg,manipulated/SD_00064_text_change.jpg,text_change,"[205, 150, 650, 173]",Aarav Verma,Verma,Aarav,19860324,2010-07-17,2015-12-03,P7589178,USA,M,train
SD_00065,authentic/SD_00065_authentic.jpg,manipulated/SD_00065_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Aadhya Kapoor,Kapoor,Aadhya,19710828,2010-07-14,2015-08-23,O1159212,GBR,F,validation
SD_00066,authentic/SD_00066_authentic.jpg,manipulated/SD_00066_number_change.jpg,number_change,"[205, 188, 650, 211]",Meera Desai,Desai,Meera,20030817,2023-10-14,2028-12-04,U8367365,CAN,F,train
SD_00067,authentic/SD_00067_authentic.jpg,manipulated/SD_00067_date_change.jpg,date_change,"[205, 264, 650, 287]",Kiara Bose,Bose,Kiara,19760711,2015-11-09,2025-03-22,P1111615,USA,M,test
SD_00068,authentic/SD_00068_authentic.jpg,manipulated/SD_00068_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Diya Kulkarni,Kulkarni,Diya,19770628,2016-11-25,2026-12-02,J9451983,USA,F,train
SD_00069,authentic/SD_00069_authentic.jpg,manipulated/SD_00069_clone.jpg,clone,"[430, 270, 580, 305]",Neel Malhotra,Malhotra,Neel,19760912,2015-02-25,2025-10-08,Z6899809,SGP,F,validation
SD_00070,authentic/SD_00070_authentic.jpg,manipulated/SD_00070_compression.jpg,compression,"[0, 0, 700, 455]",Aarav Verma,Verma,Aarav,19870511,2021-06-01,2026-03-19,V6120183,CAN,F,validation
SD_00071,authentic/SD_00071_authentic.jpg,manipulated/SD_00071_mixed.jpg,mixed,"[45, 100, 650, 250]",Sara Nair,Nair,Sara,19800524,2015-06-25,2020-01-05,F9014767,AUS,F,test
SD_00072,authentic/SD_00072_authentic.jpg,manipulated/SD_00072_text_change.jpg,text_change,"[205, 150, 650, 173]",Kiara Rao,Rao,Kiara,19830904,2022-06-14,2027-05-22,V9784036,AUS,M,validation
SD_00073,authentic/SD_00073_authentic.jpg,manipulated/SD_00073_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Aarav Mehta,Mehta,Aarav,19890325,2013-05-10,2023-02-01,P6226838,AUS,F,test
SD_00074,authentic/SD_00074_authentic.jpg,manipulated/SD_00074_number_change.jpg,number_change,"[205, 188, 650, 211]",Aditya Joshi,Joshi,Aditya,19720115,2016-02-28,2026-10-14,S6641605,USA,F,train
SD_00075,authentic/SD_00075_authentic.jpg,manipulated/SD_00075_date_change.jpg,date_change,"[205, 264, 650, 287]",Ira Patel,Patel,Ira,19970414,2016-10-13,2021-07-28,J5352181,AUS,M,train
SD_00076,authentic/SD_00076_authentic.jpg,manipulated/SD_00076_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Kabir Mehta,Mehta,Kabir,19760507,2012-03-20,2017-11-03,F7799799,GBR,F,train
SD_00077,authentic/SD_00077_authentic.jpg,manipulated/SD_00077_clone.jpg,clone,"[430, 270, 580, 305]",Kabir Kapoor,Kapoor,Kabir,19740821,2017-05-26,2027-10-02,L8147700,GBR,F,train
SD_00078,authentic/SD_00078_authentic.jpg,manipulated/SD_00078_compression.jpg,compression,"[0, 0, 700, 455]",Aditya Kulkarni,Kulkarni,Aditya,19751017,2019-07-15,2024-08-26,S3597820,CAN,M,train
SD_00079,authentic/SD_00079_authentic.jpg,manipulated/SD_00079_mixed.jpg,mixed,"[45, 100, 650, 250]",Diya Bose,Bose,Diya,19751106,2018-01-08,2028-08-17,Q9255466,GBR,M,train
SD_00080,authentic/SD_00080_authentic.jpg,manipulated/SD_00080_text_change.jpg,text_change,"[205, 150, 650, 173]",Diya Patel,Patel,Diya,19910922,2011-07-10,2021-12-28,V9251925,GBR,F,test
SD_00081,authentic/SD_00081_authentic.jpg,manipulated/SD_00081_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Kabir Desai,Desai,Kabir,19750913,2014-11-26,2024-03-22,W8168505,GBR,M,test
SD_00082,authentic/SD_00082_authentic.jpg,manipulated/SD_00082_number_change.jpg,number_change,"[205, 188, 650, 211]",Ishaan Nair,Nair,Ishaan,20010405,2020-03-03,2030-02-17,Y8805929,CAN,M,train
SD_00083,authentic/SD_00083_authentic.jpg,manipulated/SD_00083_date_change.jpg,date_change,"[205, 264, 650, 287]",Rohan Verma,Verma,Rohan,19800802,2021-07-12,2026-08-20,J7383473,GBR,F,train
SD_00084,authentic/SD_00084_authentic.jpg,manipulated/SD_00084_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Meera Iyer,Iyer,Meera,20030327,2024-04-26,2029-05-02,U7581814,IND,M,train
SD_00085,authentic/SD_00085_authentic.jpg,manipulated/SD_00085_clone.jpg,clone,"[430, 270, 580, 305]",Anaya Kapoor,Kapoor,Anaya,20020703,2021-04-27,2031-06-01,N0685361,GBR,M,train
SD_00086,authentic/SD_00086_authentic.jpg,manipulated/SD_00086_compression.jpg,compression,"[0, 0, 700, 455]",Aarav Nair,Nair,Aarav,19761221,2023-06-26,2028-03-02,J7277901,IND,F,train
SD_00087,authentic/SD_00087_authentic.jpg,manipulated/SD_00087_mixed.jpg,mixed,"[45, 100, 650, 250]",Ishaan Malhotra,Malhotra,Ishaan,19791220,2018-09-14,2023-05-08,J1036971,IND,F,validation
SD_00088,authentic/SD_00088_authentic.jpg,manipulated/SD_00088_text_change.jpg,text_change,"[205, 150, 650, 173]",Aarav Kulkarni,Kulkarni,Aarav,20020423,2024-03-10,2034-01-20,L3962185,IND,M,train
SD_00089,authentic/SD_00089_authentic.jpg,manipulated/SD_00089_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Meera Malhotra,Malhotra,Meera,20001113,2018-06-09,2023-06-26,C5319520,GBR,F,test
SD_00090,authentic/SD_00090_authentic.jpg,manipulated/SD_00090_number_change.jpg,number_change,"[205, 188, 650, 211]",Rohan Malhotra,Malhotra,Rohan,19991106,2024-03-03,2034-01-10,G0305486,AUS,F,train
SD_00091,authentic/SD_00091_authentic.jpg,manipulated/SD_00091_date_change.jpg,date_change,"[205, 264, 650, 287]",Anaya Sharma,Sharma,Anaya,19820628,2014-01-28,2024-05-04,Z5667652,CAN,F,train
SD_00092,authentic/SD_00092_authentic.jpg,manipulated/SD_00092_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Anaya Singh,Singh,Anaya,19750703,2021-07-20,2026-09-10,K1154479,SGP,F,train
SD_00093,authentic/SD_00093_authentic.jpg,manipulated/SD_00093_clone.jpg,clone,"[430, 270, 580, 305]",Rohan Bose,Bose,Rohan,19980802,2021-12-28,2031-10-14,I0165820,USA,F,validation
SD_00094,authentic/SD_00094_authentic.jpg,manipulated/SD_00094_compression.jpg,compression,"[0, 0, 700, 455]",Vivaan Verma,Verma,Vivaan,19741112,2013-06-13,2018-10-05,V7557192,AUS,F,test
SD_00095,authentic/SD_00095_authentic.jpg,manipulated/SD_00095_mixed.jpg,mixed,"[45, 100, 650, 250]",Meera Nair,Nair,Meera,19870201,2013-12-06,2023-09-13,R1447394,SGP,F,test
SD_00096,authentic/SD_00096_authentic.jpg,manipulated/SD_00096_text_change.jpg,text_change,"[205, 150, 650, 173]",Ishaan Patel,Patel,Ishaan,19780215,2023-03-23,2033-02-26,V5518844,USA,M,validation
SD_00097,authentic/SD_00097_authentic.jpg,manipulated/SD_00097_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Ira Iyer,Iyer,Ira,19840426,2011-03-08,2021-01-12,R9578291,IND,F,train
SD_00098,authentic/SD_00098_authentic.jpg,manipulated/SD_00098_number_change.jpg,number_change,"[205, 188, 650, 211]",Meera Bose,Bose,Meera,20000725,2022-07-27,2027-03-11,U1778528,SGP,M,train
SD_00099,authentic/SD_00099_authentic.jpg,manipulated/SD_00099_date_change.jpg,date_change,"[205, 264, 650, 287]",Kabir Joshi,Joshi,Kabir,20020217,2020-03-10,2025-03-11,W3584143,SGP,F,test
SD_00100,authentic/SD_00100_authentic.jpg,manipulated/SD_00100_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Aditya Iyer,Iyer,Aditya,19801005,2019-03-22,2029-10-02,A1094396,AUS,M,train
SD_00101,authentic/SD_00101_authentic.jpg,manipulated/SD_00101_clone.jpg,clone,"[430, 270, 580, 305]",Tara Kulkarni,Kulkarni,Tara,20041110,2023-08-08,2033-05-15,C0276773,GBR,M,train
SD_00102,authentic/SD_00102_authentic.jpg,manipulated/SD_00102_compression.jpg,compression,"[0, 0, 700, 455]",Diya Malhotra,Malhotra,Diya,19900613,2021-03-25,2031-09-18,D5371473,USA,M,train
SD_00103,authentic/SD_00103_authentic.jpg,manipulated/SD_00103_mixed.jpg,mixed,"[45, 100, 650, 250]",Vivaan Rao,Rao,Vivaan,19940708,2021-03-27,2031-10-24,K3278774,CAN,M,test
SD_00104,authentic/SD_00104_authentic.jpg,manipulated/SD_00104_text_change.jpg,text_change,"[205, 150, 650, 173]",Aditya Joshi,Joshi,Aditya,20020407,2023-10-12,2028-01-10,P9748016,USA,F,test
SD_00105,authentic/SD_00105_authentic.jpg,manipulated/SD_00105_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Ira Singh,Singh,Ira,19950113,2018-01-19,2023-06-18,J1687849,SGP,M,train
SD_00106,authentic/SD_00106_authentic.jpg,manipulated/SD_00106_number_change.jpg,number_change,"[205, 188, 650, 211]",Kabir Patel,Patel,Kabir,19950618,2018-06-25,2023-04-20,Q6800025,CAN,F,train
SD_00107,authentic/SD_00107_authentic.jpg,manipulated/SD_00107_date_change.jpg,date_change,"[205, 264, 650, 287]",Kabir Desai,Desai,Kabir,20020620,2021-06-06,2031-10-24,J9588879,GBR,F,train
SD_00108,authentic/SD_00108_authentic.jpg,manipulated/SD_00108_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Diya Kulkarni,Kulkarni,Diya,19771010,2016-12-28,2021-10-16,I9930972,AUS,F,validation
SD_00109,authentic/SD_00109_authentic.jpg,manipulated/SD_00109_clone.jpg,clone,"[430, 270, 580, 305]",Kabir Malhotra,Malhotra,Kabir,19851023,2010-02-07,2015-08-11,N2636897,SGP,M,train
SD_00110,authentic/SD_00110_authentic.jpg,manipulated/SD_00110_compression.jpg,compression,"[0, 0, 700, 455]",Kabir Iyer,Iyer,Kabir,19830622,2018-08-17,2028-06-06,O8585497,USA,M,train
SD_00111,authentic/SD_00111_authentic.jpg,manipulated/SD_00111_mixed.jpg,mixed,"[45, 100, 650, 250]",Anaya Iyer,Iyer,Anaya,19890525,2013-05-23,2018-12-23,P5758441,AUS,F,train
SD_00112,authentic/SD_00112_authentic.jpg,manipulated/SD_00112_text_change.jpg,text_change,"[205, 150, 650, 173]",Meera Malhotra,Malhotra,Meera,19920310,2022-01-10,2027-06-15,U4733848,SGP,F,validation
SD_00113,authentic/SD_00113_authentic.jpg,manipulated/SD_00113_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Kabir Patel,Patel,Kabir,19850122,2013-09-08,2018-01-04,N5712082,CAN,F,train
SD_00114,authentic/SD_00114_authentic.jpg,manipulated/SD_00114_number_change.jpg,number_change,"[205, 188, 650, 211]",Tara Kulkarni,Kulkarni,Tara,19820511,2022-05-21,2027-02-21,S3802620,CAN,F,test
SD_00115,authentic/SD_00115_authentic.jpg,manipulated/SD_00115_date_change.jpg,date_change,"[205, 264, 650, 287]",Rohan Bose,Bose,Rohan,19880101,2024-05-19,2029-06-10,O8872874,USA,M,train
SD_00116,authentic/SD_00116_authentic.jpg,manipulated/SD_00116_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Sara Kulkarni,Kulkarni,Sara,19860301,2021-12-11,2031-10-22,Y3296685,IND,F,train
SD_00117,authentic/SD_00117_authentic.jpg,manipulated/SD_00117_clone.jpg,clone,"[430, 270, 580, 305]",Arjun Verma,Verma,Arjun,19780608,2017-01-09,2027-04-15,Y4549904,SGP,F,validation
SD_00118,authentic/SD_00118_authentic.jpg,manipulated/SD_00118_compression.jpg,compression,"[0, 0, 700, 455]",Neel Sharma,Sharma,Neel,19770506,2017-07-22,2027-12-04,U4593327,USA,F,train
SD_00119,authentic/SD_00119_authentic.jpg,manipulated/SD_00119_mixed.jpg,mixed,"[45, 100, 650, 250]",Ira Joshi,Joshi,Ira,20000926,2024-11-27,2029-04-22,Y9187851,AUS,M,train
SD_00120,authentic/SD_00120_authentic.jpg,manipulated/SD_00120_text_change.jpg,text_change,"[205, 150, 650, 173]",Vivaan Malhotra,Malhotra,Vivaan,20021018,2021-03-06,2031-09-15,D3971870,CAN,M,train
SD_00121,authentic/SD_00121_authentic.jpg,manipulated/SD_00121_photo_change.jpg,photo_change,"[45, 100, 165, 250]",Kiara Kapoor,Kapoor,Kiara,19730822,2018-05-24,2023-07-09,A3910651,AUS,M,train
SD_00122,authentic/SD_00122_authentic.jpg,manipulated/SD_00122_number_change.jpg,number_change,"[205, 188, 650, 211]",Aditya Kapoor,Kapoor,Aditya,19720706,2014-03-25,2024-06-13,O6618251,USA,F,train
SD_00123,authentic/SD_00123_authentic.jpg,manipulated/SD_00123_date_change.jpg,date_change,"[205, 264, 650, 287]",Kabir Bose,Bose,Kabir,19840125,2023-01-10,2033-11-24,R6863375,USA,F,validation
SD_00124,authentic/SD_00124_authentic.jpg,manipulated/SD_00124_copy_paste.jpg,copy_paste,"[205, 140, 500, 175]",Vivaan Singh,Singh,Vivaan,19960108,2023-04-03,2028-10-02,O9030673,AUS,M,train
